                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.84014,                0.85913,                 1.2365,                0.57047,                0.50557,                0.52475,                0.42895,                0.85937,                 1.6789,                  1.291,               0.002476,               0.002476,               0.002476
                    116,                0.82591,                0.84482,                 1.2328,                0.55563,                0.52119,                0.52403,                0.42793,                0.86166,                 1.6799,                 1.2923,                0.00241,                0.00241,                0.00241
                    117,                0.81911,                0.83501,                 1.2312,                0.54942,                0.52291,                0.52388,                0.42758,                0.86264,                 1.6808,                 1.2931,               0.002344,               0.002344,               0.002344
                    118,                 0.8282,                0.83581,                 1.2293,                0.56484,                0.51517,                0.52361,                0.42697,                0.86548,                 1.6804,                 1.2951,               0.002278,               0.002278,               0.002278
                    119,                 0.8284,                0.82109,                 1.2217,                0.56429,                0.51311,                0.52306,                0.42681,                0.86745,                 1.6823,                 1.2969,               0.002212,               0.002212,               0.002212
                    120,                0.81853,                0.82212,                 1.2292,                0.56081,                0.51463,                0.52234,                0.42624,                0.86835,                 1.6854,                 1.2977,               0.002146,               0.002146,               0.002146
                    121,                0.81629,                0.80148,                 1.2179,                0.55457,                0.51323,                0.52125,                0.42442,                 0.8699,                 1.6874,                 1.2989,                0.00208,                0.00208,                0.00208
                    122,                0.80062,                0.81301,                 1.2184,                0.54473,                0.51537,                0.52158,                0.42515,                0.87067,                   1.69,                 1.2991,               0.002014,               0.002014,               0.002014
                    123,                0.80415,                0.79669,                 1.2154,                0.64052,                0.45617,                0.52079,                0.42421,                0.87137,                 1.6916,                 1.2994,               0.001948,               0.001948,               0.001948
                    124,                0.80885,                0.79061,                 1.2142,                 0.5419,                0.52373,                 0.5203,                0.42393,                0.87145,                 1.6932,                 1.2994,               0.001882,               0.001882,               0.001882
                    125,                0.79749,                0.78051,                 1.2164,                0.54585,                0.52359,                0.52041,                0.42385,                0.87247,                 1.6948,                 1.3002,               0.001816,               0.001816,               0.001816
                    126,                0.79547,                0.78273,                  1.208,                0.54929,                0.51696,                0.51915,                0.42237,                0.87263,                 1.6967,                    1.3,                0.00175,                0.00175,                0.00175
                    127,                0.79124,                0.77935,                 1.2066,                0.55355,                0.51494,                0.52005,                0.42373,                0.87285,                 1.6974,                 1.3001,               0.001684,               0.001684,               0.001684
                    128,                0.78472,                0.76643,                 1.2052,                 0.5558,                0.51165,                0.51865,                 0.4226,                0.87422,                 1.6981,                 1.3011,               0.001618,               0.001618,               0.001618
                    129,                0.78876,                 0.7582,                    1.2,                0.55762,                0.51328,                0.51863,                 0.4223,                0.87481,                 1.6981,                 1.3018,               0.001552,               0.001552,               0.001552
                    130,                0.78094,                0.75675,                 1.1966,                0.55762,                 0.5136,                0.51843,                0.42195,                0.87502,                 1.6986,                 1.3026,               0.001486,               0.001486,               0.001486
                    131,                0.78651,                 0.7517,                 1.1968,                0.55617,                0.51309,                0.51895,                0.42127,                0.87556,                 1.6999,                 1.3033,                0.00142,                0.00142,                0.00142
                    132,                0.78231,                0.72639,                 1.1908,                0.57871,                0.49958,                0.51932,                0.42106,                0.87587,                  1.702,                 1.3037,               0.001354,               0.001354,               0.001354
                    133,                0.78277,                0.73562,                  1.193,                0.57778,                0.49967,                0.52012,                0.42064,                0.87635,                 1.7025,                 1.3046,               0.001288,               0.001288,               0.001288
                    134,                0.77098,                0.73011,                 1.1887,                0.57946,                0.50294,                 0.5199,                0.42051,                0.87656,                 1.7025,                 1.3053,               0.001222,               0.001222,               0.001222
                    135,                0.77151,                0.72258,                 1.1829,                0.58928,                0.49323,                0.51899,                0.41982,                0.87655,                 1.7029,                 1.3052,               0.001156,               0.001156,               0.001156
                    136,                0.76926,                0.71116,                 1.1847,                0.58949,                0.49218,                0.51891,                 0.4197,                0.87768,                 1.7034,                 1.3071,                0.00109,                0.00109,                0.00109
                    137,                0.76504,                0.70937,                 1.1782,                0.59054,                0.49249,                0.51874,                0.41898,                0.87803,                 1.7039,                 1.3077,               0.001024,               0.001024,               0.001024
                    138,                0.76767,                0.70306,                 1.1831,                0.58785,                  0.494,                0.51865,                0.41888,                0.87893,                 1.7055,                 1.3087,               0.000958,               0.000958,               0.000958
                    139,                0.75931,                0.70747,                 1.1786,                0.58647,                0.49711,                0.51779,                0.41852,                0.87803,                 1.7069,                  1.308,               0.000892,               0.000892,               0.000892
                    140,                0.75053,                 0.6979,                 1.1737,                 0.5834,                0.49784,                0.51738,                0.41804,                0.87996,                 1.7077,                 1.3103,               0.000826,               0.000826,               0.000826
                    141,                0.69119,                0.53465,                 1.1214,                0.58175,                 0.4978,                0.51677,                0.41766,                0.88066,                  1.709,                 1.3111,                0.00076,                0.00076,                0.00076
                    142,                0.67788,                0.51611,                 1.1151,                0.57993,                0.49728,                0.51575,                0.41808,                0.88115,                 1.7101,                 1.3118,               0.000694,               0.000694,               0.000694
                    143,                0.67046,                0.50198,                 1.1088,                0.58061,                0.49952,                0.51578,                0.41783,                0.88101,                 1.7105,                 1.3118,               0.000628,               0.000628,               0.000628
                    144,                0.66222,                0.48937,                 1.1027,                0.58268,                0.49834,                0.51661,                0.41791,                0.88144,                 1.7112,                 1.3124,               0.000562,               0.000562,               0.000562
                    145,                0.66057,                0.48478,                 1.0972,                0.58227,                0.50077,                0.51651,                0.41801,                0.88223,                 1.7121,                 1.3132,               0.000496,               0.000496,               0.000496
                    146,                0.66356,                0.47914,                    1.1,                0.58263,                0.50102,                0.51683,                 0.4185,                0.88293,                 1.7135,                  1.314,                0.00043,                0.00043,                0.00043
                    147,                0.65478,                0.47868,                 1.0925,                0.58607,                0.49481,                0.51691,                0.41821,                0.88376,                 1.7148,                 1.3151,               0.000364,               0.000364,               0.000364
                    148,                0.65445,                0.47325,                 1.0955,                0.58667,                0.49472,                0.51662,                0.41819,                0.88434,                 1.7159,                  1.316,               0.000298,               0.000298,               0.000298
                    149,                0.64977,                0.46265,                 1.0887,                0.58697,                 0.4941,                0.51724,                0.41793,                0.88482,                 1.7162,                 1.3166,               0.000232,               0.000232,               0.000232
                    150,                0.64847,                0.46176,                 1.0893,                0.58799,                0.49406,                0.51681,                 0.4171,                0.88521,                 1.7174,                 1.3172,               0.000166,               0.000166,               0.000166
